date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,8202.5996,,,,,,,100.0,-74.2731
2000-01-05,8119.3999,-1.0143,,,,,,98.9857,-74.5341
2000-01-06,8114.2002,-0.064,,,,,,98.9223,-74.5504
2000-01-07,8429.4004,3.8846,,,,,,102.765,-73.5618
2000-01-10,8602.5,2.0535,,,,,,104.8753,-73.0189
2000-01-11,8442.5996,-1.8588,2.9259,,,,,102.9259,-73.5204
2000-01-12,8360.0,-0.9784,2.9633,,,,,101.9189,-73.7795
2000-01-13,8417.9004,0.6926,3.7428,,,,,102.6248,-73.5979
2000-01-14,8357.5,-0.7175,-0.853,,,,,101.8884,-73.7873
2000-01-17,8479.2998,1.4574,-1.4321,,,,,103.3733,-73.4053
2000-01-18,8589.7002,1.302,1.7424,,,,,104.7192,-73.059
2000-01-19,8635.0996,0.5285,3.2907,,,,,105.2727,-72.9166
2000-01-20,8682.9004,0.5536,3.1481,,,,,105.8555,-72.7667
2000-01-21,8634.9004,-0.5528,3.3192,,,,,105.2703,-72.9173
2000-01-24,8458.7998,-2.0394,-0.2418,,,,,103.1234,-73.4696
2000-01-25,8505.5,0.5521,-0.9802,,,,,103.6927,-73.3231
2000-01-26,8582.5996,0.9065,-0.608,,,,,104.6327,-73.0813
2000-01-27,8645.7998,0.7364,-0.4273,,,,,105.4032,-72.8831
2000-01-28,8390.4004,-2.954,-2.8315,,,,,102.2895,-73.6841
2000-01-31,8481.0996,1.081,0.2636,,,,,103.3953,-73.3996
2000-02-01,8535.2998,0.6391,0.3504,,,,,104.056,-73.2296
2000-02-02,8769.5,2.7439,2.1777,6.9112,,,,106.9112,-72.4951
2000-02-03,8894.4004,1.4243,2.8754,9.545,,,,108.4339,-72.1034
2000-02-04,9209.2002,3.5393,9.7588,13.4949,,,,112.2717,-71.116
2000-02-07,9156.0,-0.5777,7.9577,8.6198,,,,111.6231,-71.2829
2000-02-08,9300.7998,1.5815,8.9686,8.1174,,,,113.3884,-70.8287
2000-02-09,9255.2002,-0.4903,5.5385,9.625,,,,112.8325,-70.9717
2000-02-10,9321.0,0.7109,4.7963,11.4952,,,,113.6347,-70.7654
2000-02-11,9156.7002,-1.7627,-0.5701,8.7765,,,,111.6317,-71.2807
2000-02-14,9314.5,1.7233,1.7311,11.4508,,,,113.5555,-70.7857
2000-02-15,9356.0996,0.4466,0.5946,10.3405,,,,114.0626,-70.6553
2000-02-16,9428.5996,0.7749,1.8735,9.7663,,,,114.9465,-70.4279
2000-02-17,9463.5,0.3702,1.5288,9.5934,,,,115.372,-70.3184
2000-02-18,9295.5,-1.7752,1.5158,7.0552,,,,113.3238,-70.8453
2000-02-21,9231.2002,-0.6917,-0.8943,6.9057,,,,112.5399,-71.047
2000-02-22,9194.9004,-0.3932,-1.7229,8.7022,,,,112.0974,-71.1609
2000-02-23,9315.0,1.3062,-1.2048,9.5174,,,,113.5616,-70.7842
2000-02-24,9214.2002,-1.0821,-2.6343,7.3591,,,,112.3327,-71.1003
2000-02-25,9141.2002,-0.7923,-1.6599,5.73,,,,111.4427,-71.3293
2000-02-28,9223.4004,0.8992,-0.0845,9.928,,,,112.4448,-71.0715
2000-02-29,9129.0,-1.0235,-0.7167,7.6393,,,,111.294,-71.3675
2000-03-01,9411.5996,3.0956,1.037,10.2668,,,,114.7392,-70.4812
2000-03-02,9516.0996,1.1103,3.2765,8.5136,,,,116.0132,-70.1534
2000-03-03,9462.9004,-0.559,3.5192,6.3917,,,,115.3647,-70.3203
2000-03-06,9580.9004,1.247,3.876,4.0362,,,,116.8032,-69.9502
2000-03-07,9425.5,-1.622,3.2479,2.9434,,,,114.9087,-70.4376
2000-03-08,9281.0996,-1.532,-1.3866,-0.2118,,,,113.1483,-70.8905
2000-03-09,9413.7002,1.4287,-1.0761,1.7126,,,,114.7648,-70.4746
2000-03-10,9487.0996,0.7797,0.2557,1.782,,,,115.6597,-70.2444
2000-03-13,9461.5996,-0.2688,-1.2452,3.3298,,,,115.3488,-70.3244
2000-03-14,9393.7998,-0.7166,-0.3363,0.8514,,,,114.5222,-70.537
2000-03-15,9293.5996,-1.0667,0.1347,-0.668,,,,113.3007,-70.8513
2000-03-16,9488.0,2.0918,0.7893,0.63,,,,115.6706,-70.2416
2000-03-17,9528.7998,0.43,0.4395,0.69,,,,116.168,-70.1136
2000-03-20,9568.2998,0.4145,1.1277,2.9348,,,,116.6496,-69.9897
2000-03-21,9651.4004,0.8685,2.7422,4.552,,,,117.6627,-69.7291
2000-03-22,9871.5996,2.2815,6.2193,7.3595,,,,120.3472,-69.0384
2000-03-23,9990.0996,1.2004,5.2919,7.2474,,,,121.7919,-68.6668
2000-03-24,10052.7002,0.6266,5.4981,9.1001,,,,122.5551,-68.4704
2000-03-27,10043.0,-0.0965,4.9612,9.8652,,,,122.4368,-68.5009
2000-03-28,9922.9004,-1.1959,2.8131,7.584,,,,120.9726,-68.8775
2000-03-29,9702.2002,-2.2242,-1.716,6.2789,,,,118.282,-69.5697
2000-03-30,9394.0,-3.1766,-5.9669,-0.187,,,,114.5247,-70.5364
2000-03-31,9462.4004,0.7281,-5.8721,-0.5643,15.3586,,,115.3586,-70.3219
2000-04-03,9374.7002,-0.9268,-6.6544,-0.9321,15.4605,,,114.2894,-70.5969
2000-04-04,9141.7998,-2.4844,-7.8717,-4.5831,12.6642,,,111.45,-71.3274
2000-04-05,9226.5,0.9265,-4.903,-2.1113,9.4562,,,112.4826,-71.0617
2000-04-06,9441.2998,2.3281,0.5035,1.7261,9.7507,,,115.1013,-70.388
2000-04-07,9465.2002,0.2531,0.0296,0.5471,12.1124,,,115.3927,-70.3131
2000-04-10,9460.9004,-0.0454,0.9195,-0.2762,13.1687,,,115.3403,-70.3266
2000-04-11,9358.0,-1.0876,2.365,-1.0949,11.1679,,,114.0858,-70.6493
2000-04-12,9047.7002,-3.3159,-1.9379,-3.6843,8.2585,,,110.3028,-71.6225
2000-04-13,8965.4004,-0.9096,-5.0406,-3.5315,5.7328,,,109.2995,-71.8807
2000-04-14,8473.5,-5.4867,-10.4773,-10.6925,-1.3528,,,103.3026,-73.4235
2000-04-17,8769.5996,3.4944,-7.3069,-7.9674,1.5576,,,106.9124,-72.4948
2000-04-18,9069.5,3.4198,-3.0829,-5.213,4.4524,,,110.5686,-71.5542
2000-04-19,9034.0,-0.3914,-0.1514,-6.397,4.6219,,,110.1358,-71.6655
2000-04-20,8959.7002,-0.8224,-0.0636,-9.2376,5.9216,,,109.23,-71.8985
2000-04-24,8822.5,-1.5313,4.1187,-11.6876,3.727,,,107.5574,-72.3289
2000-04-25,9108.4004,3.2406,3.8634,-9.3935,6.1264,,,111.0429,-71.4322
2000-04-26,9378.0,2.9599,3.4015,-6.6215,8.4689,,,114.3296,-70.5866
2000-04-27,9322.7002,-0.5897,3.1957,-6.0486,11.1115,,,113.6554,-70.76
2000-04-28,9347.5996,0.2671,4.3294,-3.6548,10.2168,,,113.959,-70.6819
2000-05-01,9527.2998,1.9224,7.9887,1.419,11.6223,,,116.1498,-70.1183
2000-05-02,9510.2998,-0.1784,4.4124,0.5062,8.4475,,,115.9425,-70.1716
2000-05-03,9291.2998,-2.3028,-0.9245,-0.8896,4.4624,,,113.2726,-70.8585
2000-05-04,9414.0996,1.3217,0.9804,2.9786,2.2249,,,114.7697,-70.4734
2000-05-05,9597.2998,1.946,2.6713,4.0189,4.8198,,,117.0031,-69.8988
2000-05-08,9337.5,-2.707,-1.9922,-1.0994,0.3946,,,113.8359,-70.7136
2000-05-09,9294.4004,-0.4616,-2.2702,-1.8045,0.4235,,,113.3104,-70.8488
2000-05-10,9097.0996,-2.1228,-2.0901,-3.8453,-2.4021,,,110.9051,-71.4676
2000-05-11,9132.5996,0.3902,-2.9902,-2.4086,-0.2632,,,111.3379,-71.3563
2000-05-12,9211.7998,0.8672,-4.0168,1.8137,-1.1026,,,112.3034,-71.1079
2000-05-15,9281.9004,0.761,-0.5954,3.5302,-0.7931,,,113.158,-70.888
2000-05-16,9582.0,3.2332,3.0943,13.082,1.627,,,116.8166,-69.9467
2000-05-17,9552.7998,-0.3047,5.0093,8.9309,0.9436,,,116.4606,-70.0383
2000-05-18,9549.9004,-0.0304,4.5694,5.2969,2.7368,,,116.4253,-70.0474
2000-05-19,9293.0996,-2.689,0.8826,2.868,0.6705,,,113.2946,-70.8529
2000-05-23,8986.5996,-3.2981,-3.1815,0.3002,-2.2654,,,109.5579,-71.8142
2000-05-24,9144.2002,1.7537,-4.569,3.6464,-1.8336,,,111.4793,-71.3199
2000-05-25,9043.7002,-1.0991,-5.3293,-0.7103,-1.8504,,,110.2541,-71.6351
2000-05-26,9020.9004,-0.2521,-5.5393,-3.8078,-1.316,,,109.9761,-71.7066
2000-05-29,9060.0996,0.4345,-2.5072,-2.8168,-1.7705,,,110.454,-71.5836
2000-05-30,9344.0996,3.1346,3.9781,-0.0374,2.3562,,,113.9163,-70.6929
2000-05-31,9252.0,-0.9856,1.1789,-2.8896,-1.6958,,,112.7935,-70.9818
2000-06-01,9552.2002,3.2447,5.6227,0.4406,0.3794,,,116.4533,-70.0402
2000-06-02,9747.7002,2.0466,8.0568,4.9121,3.0096,,,118.8367,-69.427
2000-06-05,9679.7002,-0.6976,6.8388,2.8213,1.0312,,,118.0077,-69.6403
2000-06-06,9609.9004,-0.7211,2.8446,0.1313,1.9564,,,117.1568,-69.8592
2000-06-07,9557.7002,-0.5432,3.3042,2.3582,2.9803,,,116.5204,-70.023
2000-06-08,9652.4004,0.9908,1.049,3.8518,2.5357,,,117.6749,-69.7259
2000-06-09,9728.7998,0.7915,-0.1939,6.944,2.5477,,,118.6063,-69.4863
2000-06-12,9819.5996,0.9333,1.4453,7.5225,3.7837,,,119.7133,-69.2015
2000-06-13,9836.5,0.1721,2.358,6.7815,4.7127,,,119.9193,-69.1485
2000-06-14,9972.0996,1.3785,4.3358,7.436,7.3007,,,121.5724,-68.7232
2000-06-15,10110.5996,1.3889,4.747,5.5166,6.562,,,123.2609,-68.2888
2000-06-16,10035.7002,-0.7408,3.1546,5.0551,5.3197,,,122.3478,-68.5237
2000-06-19,10136.7998,1.0074,3.2303,6.1456,5.9415,,,123.5803,-68.2067
2000-06-20,10239.9004,1.0171,4.1011,10.1882,6.0976,,,124.8373,-67.8833
2000-06-21,10197.2998,-0.416,2.2583,13.4723,3.2994,,,124.3179,-68.0169
2000-06-22,10064.5,-1.3023,-0.456,10.0643,0.7447,,,122.6989,-68.4334
2000-06-23,10091.0996,0.2643,0.552,11.5815,0.382,,,123.0232,-68.35
2000-06-26,10227.4004,1.3507,0.8938,13.3745,1.8361,,,124.6849,-67.9225
2000-06-27,10165.5,-0.6052,-0.7266,12.2008,2.4448,,,123.9302,-68.1166
2000-06-28,10231.2998,0.6473,0.3334,9.4948,5.4534,,,124.7324,-67.9103
2000-06-29,10111.0,-1.1758,0.462,9.2845,7.6325,,,123.2658,-68.2876
2000-06-30,10195.5,0.8357,1.0346,6.7346,7.7475,24.296,,124.296,-68.0225
2000-07-04,10301.4004,1.0387,0.7235,5.6803,9.8851,26.8739,,125.587,-67.6904
2000-07-05,10323.7998,0.2174,1.5572,6.6541,12.9296,27.2313,,125.8601,-67.6201
2000-07-06,10242.5996,-0.7865,0.1104,6.5838,11.0128,21.5104,,124.8702,-67.8748
2000-07-07,10380.2998,1.3444,2.6634,8.6067,9.9457,20.6661,,126.5489,-67.4429
2000-07-10,10235.4004,-1.3959,0.3914,6.0399,8.1372,21.2352,,124.7824,-67.8974
2000-07-11,10350.2998,1.1226,0.4747,6.3882,9.4008,23.8074,,126.1832,-67.537
2000-07-12,10572.9004,2.1507,2.4129,7.6714,12.9825,25.6002,,128.8969,-66.8389
2000-07-13,10679.2998,1.0063,4.2636,8.5681,18.0333,27.781,,130.1941,-66.5051
2000-07-14,10778.7998,0.9317,3.839,8.0896,20.2266,27.119,,131.4071,-66.1931
2000-07-17,10844.5,0.6095,5.9509,7.2587,27.9814,26.25,,132.2081,-65.987
2000-07-18,10735.5,-1.0051,3.7216,6.9731,22.4172,24.324,,130.8792,-66.3289
2000-07-19,10633.2002,-0.9529,0.5703,4.897,17.2413,22.4614,,129.6321,-66.6497
2000-07-20,10740.7998,1.0119,0.5759,4.8916,18.8931,24.3882,,130.9439,-66.3123
2000-07-21,10842.0996,0.9431,0.5873,6.3232,21.0096,28.1754,,132.1788,-65.9945
2000-07-24,10783.5,-0.5405,-0.5625,7.1439,22.2273,26.7827,,131.4644,-66.1783
2000-07-25,10867.0996,0.7753,1.2258,7.6899,19.3085,26.6178,,132.4836,-65.9161
2000-07-26,10916.0996,0.4509,2.6605,6.7339,16.4011,26.259,,133.081,-65.7624
2000-07-27,10696.2002,-2.0145,-0.4152,5.2206,14.7329,27.4814,,130.4001,-66.4521
2000-07-28,10343.0,-3.3021,-4.6033,1.0917,10.6487,21.9535,,126.0942,-67.5599
