date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,6.7682,,,,
2000-02-01,6.6192,-0.1489,,,
2000-03-01,6.5653,-0.0539,,,
2000-04-01,6.3765,-0.1888,-0.3916,,
2000-05-01,6.4145,0.038,-0.2047,,
2000-06-01,6.115,-0.2995,-0.4503,,
2000-07-01,5.9543,-0.1608,-0.4223,-0.8139,
2000-08-01,6.0515,0.0973,-0.363,-0.5677,
2000-09-01,5.9632,-0.0883,-0.1518,-0.6021,
2000-10-01,6.0099,0.0467,0.0557,-0.3666,
2000-11-01,6.2621,0.2521,0.2105,-0.1525,
2000-12-01,6.2441,-0.018,0.2808,0.129,
2001-01-01,6.1405,-0.1035,0.1306,0.1862,-0.6277
2001-02-01,6.502,0.3615,0.2399,0.4504,-0.1172
2001-03-01,6.459,-0.043,0.2149,0.4957,-0.1063
2001-04-01,6.7826,0.3236,0.642,0.7726,0.406
2001-05-01,6.893,0.1105,0.391,0.6309,0.4785
2001-06-01,6.9329,0.0399,0.4739,0.6888,0.8179
2001-07-01,6.8801,-0.0528,0.0975,0.7396,0.9258
2001-08-01,6.8811,0.0011,-0.0119,0.3791,0.8296
2001-09-01,6.8419,-0.0392,-0.091,0.383,0.8787
2001-10-01,7.1937,0.3518,0.3136,0.4111,1.1837
2001-11-01,6.8831,-0.3106,0.002,-0.0099,0.621
2001-12-01,6.8615,-0.0216,0.0196,-0.0714,0.6175
2002-01-01,6.9131,0.0516,-0.2806,0.033,0.7726
2002-02-01,6.5365,-0.3766,-0.3466,-0.3446,0.0345
2002-03-01,6.4305,-0.106,-0.431,-0.4114,-0.0284
2002-04-01,6.3456,-0.0849,-0.5675,-0.848,-0.4369
2002-05-01,6.3725,0.0269,-0.164,-0.5106,-0.5205
2002-06-01,6.4959,0.1234,0.0654,-0.3657,-0.437
2002-07-01,6.1798,-0.316,-0.1658,-0.7333,-0.7002
2002-08-01,6.3491,0.1693,-0.0234,-0.1874,-0.532
2002-09-01,6.3122,-0.0369,-0.1837,-0.1183,-0.5297
2002-10-01,6.1284,-0.1838,-0.0514,-0.2173,-1.0653
2002-11-01,6.1627,0.0343,-0.1865,-0.2098,-0.7204
2002-12-01,6.1823,0.0196,-0.1299,-0.3136,-0.6792
2003-01-01,6.0809,-0.1014,-0.0475,-0.0989,-0.8322
2003-02-01,5.955,-0.1259,-0.2077,-0.3941,-0.5815
2003-03-01,6.1314,0.1764,-0.0509,-0.1808,-0.2991
2003-04-01,6.0297,-0.1017,-0.0512,-0.0987,-0.316
2003-05-01,6.0691,0.0394,0.1141,-0.0936,-0.3034
2003-06-01,6.0547,-0.0143,-0.0767,-0.1275,-0.4411
2003-07-01,6.128,0.0733,0.0983,0.0471,-0.0518
2003-08-01,5.8179,-0.3101,-0.2512,-0.1372,-0.5313
2003-09-01,5.7755,-0.0424,-0.2793,-0.3559,-0.5367
2003-10-01,5.7836,0.0081,-0.3444,-0.2461,-0.3448
2003-11-01,5.6617,-0.1218,-0.1561,-0.4073,-0.5009
2003-12-01,5.6815,0.0197,-0.094,-0.3733,-0.5008
2004-01-01,5.5308,-0.1507,-0.2528,-0.5972,-0.5501
2004-02-01,5.6431,0.1123,-0.0187,-0.1748,-0.3119
2004-03-01,5.4376,-0.2055,-0.2439,-0.3379,-0.6938
2004-04-01,5.5073,0.0697,-0.0235,-0.2763,-0.5224
2004-05-01,5.3368,-0.1705,-0.3063,-0.3249,-0.7323
2004-06-01,5.4633,0.1265,0.0257,-0.2182,-0.5915
2004-07-01,5.5506,0.0873,0.0433,0.0198,-0.5774
2004-08-01,5.5172,-0.0334,0.1804,-0.1259,-0.3007
2004-09-01,5.3706,-0.1465,-0.0927,-0.0669,-0.4048
2004-10-01,5.1228,-0.2479,-0.4278,-0.3845,-0.6608
2004-11-01,5.1612,0.0384,-0.356,-0.1756,-0.5005
2004-12-01,5.0686,-0.0926,-0.302,-0.3947,-0.6128
2005-01-01,5.074,0.0054,-0.0487,-0.4766,-0.4567
2005-02-01,5.0843,0.0102,-0.0769,-0.4329,-0.5588
2005-03-01,5.1628,0.0785,0.0942,-0.2079,-0.2748
2005-04-01,5.122,-0.0407,0.048,-0.0007,-0.3852
2005-05-01,5.0994,-0.0226,0.0152,-0.0618,-0.2374
2005-06-01,4.95,-0.1494,-0.2127,-0.1186,-0.5132
2005-07-01,4.9721,0.022,-0.15,-0.102,-0.5785
2005-08-01,4.9014,-0.0706,-0.198,-0.1828,-0.6157
2005-09-01,5.0022,0.1008,0.0522,-0.1605,-0.3684
2005-10-01,5.0158,0.0136,0.0437,-0.1063,-0.107
2005-11-01,4.9381,-0.0777,0.0366,-0.1613,-0.2231
2005-12-01,5.0699,0.1318,0.0676,0.1198,0.0013
2006-01-01,5.1634,0.0935,0.1476,0.1913,0.0893
2006-02-01,5.1037,-0.0597,0.1656,0.2022,0.0194
2006-03-01,4.8671,-0.2366,-0.2028,-0.1351,-0.2957
2006-04-01,4.9657,0.0986,-0.1977,-0.0501,-0.1564
2006-05-01,4.7982,-0.1675,-0.3055,-0.1399,-0.3012
2006-06-01,4.8082,0.01,-0.0589,-0.2617,-0.1419
2006-07-01,4.6568,-0.1514,-0.3089,-0.5066,-0.3153
2006-08-01,4.7122,0.0555,-0.086,-0.3915,-0.1892
2006-09-01,4.6661,-0.0462,-0.1421,-0.201,-0.3362
2006-10-01,4.4633,-0.2028,-0.1935,-0.5024,-0.5525
2006-11-01,4.515,0.0517,-0.1972,-0.2832,-0.4231
2006-12-01,4.5681,0.0531,-0.098,-0.2401,-0.5018
2007-01-01,4.5552,-0.0129,0.0919,-0.1016,-0.6082
2007-02-01,4.6347,0.0795,0.1197,-0.0776,-0.469
2007-03-01,4.4597,-0.175,-0.1084,-0.2064,-0.4074
2007-04-01,4.3861,-0.0735,-0.169,-0.0771,-0.5795
2007-05-01,4.2645,-0.1217,-0.3702,-0.2505,-0.5337
2007-06-01,4.3242,0.0597,-0.1355,-0.2439,-0.484
2007-07-01,4.2533,-0.0709,-0.1329,-0.3019,-0.4035
2007-08-01,4.299,0.0458,0.0346,-0.3356,-0.4132
2007-09-01,4.2134,-0.0856,-0.1108,-0.2463,-0.4527
2007-10-01,4.3263,0.1129,0.073,-0.0599,-0.137
2007-11-01,4.4267,0.1004,0.1277,0.1622,-0.0883
2007-12-01,4.3084,-0.1183,0.095,-0.0158,-0.2597
2008-01-01,4.2205,-0.0879,-0.1058,-0.0328,-0.3347
2008-02-01,3.9793,-0.2412,-0.4474,-0.3198,-0.6554
2008-03-01,4.0571,0.0778,-0.2513,-0.1563,-0.4026
2008-04-01,4.2657,0.2086,0.0452,-0.0606,-0.1205
2008-05-01,4.2664,0.0007,0.2871,-0.1603,0.0019
2008-06-01,4.2436,-0.0228,0.1865,-0.0648,-0.0806
2008-07-01,4.2504,0.0068,-0.0153,0.0299,-0.0029
2008-08-01,4.0154,-0.2349,-0.251,0.0361,-0.2836
2008-09-01,4.2893,0.2739,0.0457,0.2321,0.0759
2008-10-01,4.2902,0.0009,0.0398,0.0245,-0.0361
2008-11-01,4.4628,0.1726,0.4473,0.1964,0.036
2008-12-01,4.57,0.1073,0.2808,0.3264,0.2616
2009-01-01,4.9078,0.3377,0.6176,0.6574,0.6873
2009-02-01,5.3029,0.3952,0.8402,1.2875,1.3237
2009-03-01,5.7113,0.4084,1.1413,1.422,1.6542
2009-04-01,5.5134,-0.1979,0.6056,1.2232,1.2477
2009-05-01,5.8121,0.2987,0.5091,1.3493,1.5457
2009-06-01,5.8616,0.0495,0.1503,1.2916,1.618
2009-07-01,5.6728,-0.1888,0.1594,0.765,1.4224
2009-08-01,5.7149,0.0421,-0.0971,0.412,1.6995
2009-09-01,5.662,-0.0529,-0.1996,-0.0493,1.3728
2009-10-01,5.6237,-0.0384,-0.0491,0.1103,1.3335
2009-11-01,5.5584,-0.0652,-0.1565,-0.2536,1.0957
2009-12-01,5.4911,-0.0673,-0.1709,-0.3705,0.9211
2010-01-01,5.2664,-0.2247,-0.3573,-0.4064,0.3586
2010-02-01,5.2987,0.0323,-0.2597,-0.4162,-0.0042
2010-03-01,5.4226,0.1238,-0.0685,-0.2395,-0.2887
2010-04-01,5.499,0.0764,0.2326,-0.1247,-0.0144
2010-05-01,5.2296,-0.2694,-0.0691,-0.3288,-0.5824
2010-06-01,5.1442,-0.0854,-0.2784,-0.3469,-0.7174
2010-07-01,5.2882,0.144,-0.2108,0.0218,-0.3846
2010-08-01,5.0323,-0.2559,-0.1973,-0.2664,-0.6826
2010-09-01,5.0545,0.0221,-0.0897,-0.3681,-0.6076
2010-10-01,5.2847,0.2303,-0.0035,-0.2143,-0.339
2010-11-01,5.109,-0.1757,0.0766,-0.1207,-0.4495
2010-12-01,4.8768,-0.2322,-0.1777,-0.2674,-0.6143
2011-01-01,5.0043,0.1275,-0.2805,-0.2839,-0.2621
2011-02-01,4.9726,-0.0316,-0.1364,-0.0597,-0.3261
2011-03-01,4.9263,-0.0463,0.0496,-0.1281,-0.4962
2011-04-01,4.9597,0.0334,-0.0446,-0.325,-0.5393
2011-05-01,5.0132,0.0535,0.0406,-0.0958,-0.2164
2011-06-01,4.9167,-0.0965,-0.0097,0.0399,-0.2275
2011-07-01,5.0929,0.1762,0.1332,0.0886,-0.1953
2011-08-01,5.2703,0.1774,0.2571,0.2977,0.2379
2011-09-01,5.2219,-0.0484,0.3052,0.2956,0.1675
2011-10-01,5.1875,-0.0344,0.0947,0.2278,-0.0972
2011-11-01,5.231,0.0435,-0.0393,0.2178,0.122
2011-12-01,5.1965,-0.0345,-0.0254,0.2798,0.3197
2012-01-01,5.0493,-0.1472,-0.1382,-0.0436,0.045
2012-02-01,5.1929,0.1436,-0.0381,-0.0774,0.2203
2012-03-01,5.183,-0.01,-0.0135,-0.0389,0.2566
2012-04-01,4.9949,-0.1881,-0.0544,-0.1927,0.0352
2012-05-01,5.2002,0.2054,0.0073,-0.0308,0.1871
2012-06-01,5.1624,-0.0378,-0.0205,-0.0341,0.2458
2012-07-01,5.1824,0.02,0.1875,0.1331,0.0895
2012-08-01,5.1573,-0.0251,-0.043,-0.0357,-0.113
2012-09-01,5.4885,0.3313,0.3261,0.3056,0.2666
2012-10-01,5.4102,-0.0783,0.2278,0.4153,0.2227
2012-11-01,5.2567,-0.1535,0.0994,0.0564,0.0257
2012-12-01,5.4318,0.1752,-0.0567,0.2694,0.2353
2013-01-01,5.3924,-0.0395,-0.0178,0.21,0.3431
2013-02-01,5.396,0.0037,0.1394,0.2388,0.2031
2013-03-01,5.6401,0.2441,0.2083,0.1516,0.4571
2013-04-01,5.589,-0.0512,0.1966,0.1788,0.5941
2013-05-01,5.6094,0.0205,0.2134,0.3528,0.4092
2013-06-01,5.6949,0.0855,0.0548,0.2631,0.5324
2013-07-01,5.6359,-0.059,0.0469,0.2435,0.4535
2013-08-01,5.844,0.2081,0.2345,0.4479,0.6867
2013-09-01,5.7067,-0.1373,0.0118,0.0666,0.2182
2013-10-01,5.8228,0.1161,0.1869,0.2339,0.4126
2013-11-01,5.7963,-0.0265,-0.0476,0.1869,0.5397
2013-12-01,5.8998,0.1035,0.1931,0.2049,0.468
2014-01-01,5.9453,0.0455,0.1225,0.3094,0.553
2014-02-01,5.8777,-0.0676,0.0814,0.0338,0.4817
2014-03-01,5.8748,-0.0029,-0.025,0.1681,0.2347
2014-04-01,5.8045,-0.0704,-0.1409,-0.0184,0.2155
2014-05-01,5.9295,0.125,0.0518,0.1332,0.3201
2014-06-01,6.0482,0.1187,0.1734,0.1484,0.3534
2014-07-01,6.1726,0.1244,0.3681,0.2273,0.5367
2014-08-01,6.1002,-0.0724,0.1707,0.2225,0.2562
2014-09-01,6.2366,0.1364,0.1884,0.3618,0.5299
2014-10-01,6.357,0.1203,0.1844,0.5525,0.5342
2014-11-01,6.2968,-0.0602,0.1966,0.3673,0.5005
2014-12-01,6.1047,-0.1921,-0.1319,0.0565,0.2049
2015-01-01,6.3503,0.2456,-0.0067,0.1777,0.405
2015-02-01,6.1508,-0.1995,-0.146,0.0506,0.2731
2015-03-01,6.103,-0.0478,-0.0017,-0.1336,0.2282
2015-04-01,6.1122,0.0092,-0.2381,-0.2447,0.3078
2015-05-01,5.9306,-0.1817,-0.2203,-0.3663,0.0011
2015-06-01,6.0074,0.0768,-0.0956,-0.0973,-0.0408
2015-07-01,6.2752,0.2678,0.163,-0.0751,0.1026
2015-08-01,6.0871,-0.1881,0.1565,-0.0637,-0.0131
2015-09-01,6.1743,0.0872,0.1669,0.0713,-0.0623
2015-10-01,5.9119,-0.2624,-0.3633,-0.2003,-0.4451
2015-11-01,5.8505,-0.0614,-0.2366,-0.08,-0.4463
2015-12-01,5.7396,-0.1109,-0.4347,-0.2678,-0.3651
2016-01-01,6.0406,0.301,0.1287,-0.2346,-0.3097
2016-02-01,5.6921,-0.3485,-0.1584,-0.395,-0.4587
2016-03-01,5.6531,-0.0391,-0.0866,-0.5212,-0.45
2016-04-01,5.6448,-0.0083,-0.3958,-0.2672,-0.4675
2016-05-01,5.7212,0.0764,0.029,-0.1294,-0.2094
2016-06-01,5.6953,-0.0259,0.0422,-0.0443,-0.3121
2016-07-01,5.6945,-0.0008,0.0498,-0.3461,-0.5807
2016-08-01,5.6148,-0.0797,-0.1063,-0.0773,-0.4723
2016-09-01,5.6653,0.0505,-0.03,0.0123,-0.509
2016-10-01,5.5964,-0.0689,-0.0981,-0.0483,-0.3155
2016-11-01,5.7672,0.1708,0.1524,0.0461,-0.0833
