date,value,chg_1m,chg_3m,chg_6m,chg_1y
2020-01-01,1.52,,,,
2020-02-01,1.33,-0.19,,,
2020-03-01,0.45,-0.88,,,
2020-04-01,0.22,-0.23,-1.3,,
2020-05-01,0.17,-0.05,-1.16,,
2020-06-01,0.19,0.02,-0.26,,
2020-07-01,0.15,-0.04,-0.07,-1.37,
2020-08-01,0.14,-0.01,-0.03,-1.19,
2020-09-01,0.13,-0.01,-0.06,-0.32,
2020-10-01,0.15,0.02,0.0,-0.07,
2020-11-01,0.17,0.02,0.03,0.0,
2020-12-01,0.14,-0.03,0.01,-0.05,
2021-01-01,0.13,-0.01,-0.02,-0.02,-1.39
2021-02-01,0.12,-0.01,-0.05,-0.02,-1.21
2021-03-01,0.15,0.03,0.01,0.02,-0.3
2021-04-01,0.16,0.01,0.03,0.01,-0.06
2021-05-01,0.16,0.0,0.04,-0.01,-0.01
2021-06-01,0.2,0.04,0.05,0.06,0.01
2021-07-01,0.22,0.02,0.06,0.09,0.07
2021-08-01,0.22,0.0,0.06,0.1,0.08
2021-09-01,0.24,0.02,0.04,0.09,0.11
2021-10-01,0.39,0.15,0.17,0.23,0.24
2021-11-01,0.51,0.12,0.29,0.35,0.34
2021-12-01,0.68,0.17,0.44,0.48,0.54
2022-01-01,0.98,0.3,0.59,0.76,0.85
2022-02-01,1.44,0.46,0.93,1.22,1.32
2022-03-01,1.91,0.47,1.23,1.67,1.76
2022-04-01,2.54,0.63,1.56,2.15,2.38
2022-05-01,2.62,0.08,1.18,2.11,2.46
2022-06-01,3.0,0.38,1.09,2.32,2.8
2022-07-01,3.04,0.04,0.5,2.06,2.82
2022-08-01,3.25,0.21,0.63,1.81,3.03
2022-09-01,3.86,0.61,0.86,1.95,3.62
2022-10-01,4.38,0.52,1.34,1.84,3.99
2022-11-01,4.5,0.12,1.25,1.88,3.99
2022-12-01,4.29,-0.21,0.43,1.29,3.61
2023-01-01,4.21,-0.08,-0.17,1.17,3.23
2023-02-01,4.53,0.32,0.03,1.28,3.09
2023-03-01,4.3,-0.23,0.01,0.44,2.39
2023-04-01,4.02,-0.28,-0.19,-0.36,1.48
2023-05-01,4.13,0.11,-0.4,-0.37,1.51
2023-06-01,4.64,0.51,0.34,0.35,1.64
2023-07-01,4.83,0.19,0.81,0.62,1.79
2023-08-01,4.9,0.07,0.77,0.37,1.65
2023-09-01,5.02,0.12,0.38,0.72,1.16
2023-10-01,5.07,0.05,0.24,1.05,0.69
2023-11-01,4.88,-0.19,-0.02,0.75,0.38
2023-12-01,4.46,-0.42,-0.56,-0.18,0.17
2024-01-01,4.32,-0.14,-0.75,-0.51,0.11
2024-02-01,4.54,0.22,-0.34,-0.36,0.01
2024-03-01,4.59,0.05,0.13,-0.43,0.29
2024-04-01,4.87,0.28,0.55,-0.2,0.85
2024-05-01,4.86,-0.01,0.32,-0.02,0.73
2024-06-01,4.74,-0.12,0.15,0.28,0.1
2024-07-01,4.5,-0.24,-0.37,0.18,-0.33
2024-08-01,3.97,-0.53,-0.89,-0.57,-0.93
2024-09-01,3.62,-0.35,-1.12,-0.97,-1.4
2024-10-01,3.97,0.35,-0.53,-0.9,-1.1
2024-11-01,4.26,0.29,0.29,-0.6,-0.62
2024-12-01,4.23,-0.03,0.61,-0.51,-0.23
2025-01-01,4.27,0.04,0.3,-0.23,-0.05
2025-02-01,4.21,-0.06,-0.05,0.24,-0.33
2025-03-01,3.97,-0.24,-0.26,0.35,-0.62
2025-04-01,3.78,-0.19,-0.49,-0.19,-1.09
2025-05-01,3.92,0.14,-0.29,-0.34,-0.94
2025-06-01,3.89,-0.03,-0.08,-0.34,-0.85
2025-07-01,3.88,-0.01,0.1,-0.39,-0.62
2025-08-01,3.7,-0.18,-0.22,-0.51,-0.27
2025-09-01,3.57,-0.13,-0.32,-0.4,-0.05
2025-10-01,3.52,-0.05,-0.36,-0.26,-0.45
2025-11-01,3.55,0.03,-0.15,-0.37,-0.71
2025-12-01,3.5,-0.05,-0.07,-0.39,-0.73
2026-01-01,3.54,0.04,0.02,-0.34,-0.73
2026-02-01,3.47,-0.07,-0.08,-0.23,-0.74
2026-03-01,3.71,0.24,0.21,0.14,-0.26
2026-04-01,3.8,0.09,0.26,0.28,0.02
