date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,24.21,,,,,,,100.0,66.8504
2000-01-04,27.01,11.5655,,,,,,111.5655,86.1475
2000-01-05,26.41,-2.2214,,,,,,109.0872,82.0124
2000-01-06,25.73,-2.5748,,,,,,106.2784,77.326
2000-01-07,21.72,-15.5849,,,,,,89.715,49.6899
2000-01-10,21.71,-0.046,-10.3263,,,,,89.6737,49.6209
2000-01-11,22.5,3.6389,-16.6975,,,,,92.9368,55.0655
2000-01-12,22.84,1.5111,-13.5176,,,,,94.3412,57.4087
2000-01-13,21.71,-4.9475,-15.6238,,,,,89.6737,49.6209
2000-01-14,19.66,-9.4427,-9.4843,,,,,81.2061,35.4928
2000-01-18,21.5,9.3591,-0.9673,,,,,88.8063,48.1737
2000-01-19,21.72,1.0233,-3.4667,,,,,89.715,49.6899
2000-01-20,21.75,0.1381,-4.7723,,,,,89.8389,49.8966
2000-01-21,20.82,-4.2759,-4.0995,,,,,85.9975,43.4872
2000-01-24,24.07,15.61,22.4313,,,,,99.4217,65.8856
2000-01-25,23.02,-4.3623,7.0698,,,,,95.0847,58.6492
2000-01-26,23.03,0.0434,6.0313,,,,,95.126,58.7181
2000-01-27,23.54,2.2145,8.2299,,,,,97.2326,62.2329
2000-01-28,26.14,11.045,25.5524,,,,,107.9719,80.1516
2000-01-31,24.95,-4.5524,3.656,,,,,103.0566,71.9504
2000-02-01,23.45,-6.012,1.8679,,,,,96.8608,61.6127
2000-02-02,23.12,-1.4072,0.3908,-4.5023,,,,95.4977,59.3384
2000-02-03,22.01,-4.801,-6.4996,-18.5117,,,,90.9129,51.6885
2000-02-04,21.54,-2.1354,-17.5975,-18.44,,,,88.9715,48.4493
2000-02-07,22.79,5.8032,-8.6573,-11.4263,,,,94.1347,57.0641
2000-02-08,21.25,-6.7574,-9.3817,-2.1639,,,,87.7737,46.4507
2000-02-09,22.9,7.7647,-0.9516,5.4813,,,,94.589,57.8222
2000-02-10,23.07,0.7424,4.816,2.5333,,,,95.2912,58.9938
2000-02-11,24.42,5.8518,13.3705,6.9177,,,,100.8674,68.2977
2000-02-14,24.38,-0.1638,6.9767,12.2985,,,,100.7022,68.022
2000-02-15,22.92,-5.9885,7.8588,16.5819,,,,94.6716,57.96
2000-02-16,23.51,2.5742,2.6638,9.3488,,,,97.1086,62.0262
2000-02-17,23.17,-1.4462,0.4335,6.6759,,,,95.7043,59.683
2000-02-18,26.0,12.2141,6.4701,19.5402,,,,107.3936,79.1868
2000-02-22,25.86,-0.5385,6.0706,24.2075,,,,106.8154,78.2219
2000-02-23,23.89,-7.6179,4.2321,-0.7478,,,,98.6782,64.6451
2000-02-24,24.38,2.0511,3.7005,5.9079,,,,100.7022,68.022
2000-02-25,25.2,3.3634,8.7613,9.4225,,,,104.0892,73.6733
2000-02-28,24.68,-2.0635,-5.0769,4.8428,,,,101.9414,70.0896
2000-02-29,23.37,-5.3079,-9.6288,-10.5968,,,,96.5304,61.0613
2000-03-01,21.64,-7.4027,-9.4182,-13.2665,,,,89.3846,49.1385
2000-03-02,21.06,-2.6802,-13.6177,-10.1919,,,,86.9888,45.1413
2000-03-03,19.21,-8.7844,-23.7698,-16.9118,,,,79.3474,32.3914
2000-03-06,21.5,11.9209,-12.8849,-2.3171,,,,88.8063,48.1737
2000-03-07,24.31,13.0698,4.0222,12.8598,,,,100.4131,67.5396
2000-03-08,23.82,-2.0156,10.0739,4.5195,,,,98.3891,64.1626
2000-03-09,22.21,-6.759,5.4606,4.5176,,,,91.739,53.0668
2000-03-10,21.24,-4.3674,10.5674,-7.2489,,,,87.7323,46.3818
2000-03-13,22.85,7.58,6.2791,-0.9536,,,,94.3825,57.4776
2000-03-14,24.41,6.8271,0.4114,-0.041,,,,100.8261,68.2288
2000-03-15,22.34,-8.4801,-6.2133,-8.3675,,,,92.2759,53.9628
2000-03-16,20.77,-7.0278,-6.4836,-9.3805,,,,85.791,43.1427
2000-03-17,22.37,7.7034,5.3202,-4.849,,,,92.3998,54.1695
2000-03-20,22.96,2.6375,0.4814,-0.9063,,,,94.8368,58.2357
2000-03-21,21.7,-5.4878,-11.102,-16.5385,,,,89.6324,49.552
2000-03-22,21.49,-0.9677,-3.8048,-16.8987,,,,88.765,48.1048
2000-03-23,22.26,3.5831,7.1738,-6.8229,,,,91.9455,53.4114
2000-03-24,23.31,4.717,4.2021,-4.3888,,,,96.2825,60.6478
2000-03-27,24.53,5.2338,6.838,-2.6587,,,,101.3218,69.0558
2000-03-28,24.86,1.3453,14.5622,0.7293,,,,102.6848,71.3301
