date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-07-17,244.0,,,,,,,100.0,-51.8263
2000-07-18,241.25,-1.127,,,,,,98.873,-52.3692
2000-07-19,245.0,1.5544,,,,,,100.4098,-51.6288
2000-07-20,247.0,0.8163,,,,,,101.2295,-51.234
2000-07-21,247.25,0.1012,,,,,,101.332,-51.1846
2000-07-24,245.5,-0.7078,0.6148,,,,,100.6148,-51.5301
2000-07-25,245.5,0.0,1.7617,,,,,100.6148,-51.5301
2000-07-26,244.25,-0.5092,-0.3061,,,,,100.1025,-51.7769
2000-07-27,245.75,0.6141,-0.5061,,,,,100.7172,-51.4808
2000-07-28,248.5,1.119,0.5056,,,,,101.8443,-50.9378
2000-07-31,246.0,-1.006,0.2037,,,,,100.8197,-51.4314
2000-08-01,245.0,-0.4065,-0.2037,,,,,100.4098,-51.6288
2000-08-02,246.5,0.6122,0.9212,,,,,101.0246,-51.3327
2000-08-03,242.25,-1.7241,-1.4242,,,,,99.2828,-52.1718
2000-08-04,236.5,-2.3736,-4.829,,,,,96.9262,-53.307
2000-08-07,233.5,-1.2685,-5.0813,,,,,95.6967,-53.8993
2000-08-08,236.5,1.2848,-3.4694,,,,,96.9262,-53.307
2000-08-09,235.5,-0.4228,-4.4625,,,,,96.5164,-53.5044
2000-08-10,235.75,0.1062,-2.6832,,,,,96.6189,-53.4551
2000-08-11,236.75,0.4242,0.1057,,,,,97.0287,-53.2577
2000-08-14,238.5,0.7392,2.1413,,,,,97.7459,-52.9121
2000-08-15,240.5,0.8386,1.6913,-1.4344,,,,98.5656,-52.5173
2000-08-16,243.5,1.2474,3.397,0.9326,,,,99.7951,-51.925
2000-08-17,239.5,-1.6427,1.5907,-2.2449,,,,98.1557,-52.7147
2000-08-18,238.5,-0.4175,0.7392,-3.4413,,,,97.7459,-52.9121
2000-08-21,236.25,-0.9434,-0.9434,-4.4489,,,,96.8238,-53.3564
2000-08-22,234.75,-0.6349,-2.3909,-4.3788,,,,96.209,-53.6525
2000-08-23,233.75,-0.426,-4.0041,-4.7862,,,,95.7992,-53.85
2000-08-24,240.5,2.8877,0.4175,-1.5353,,,,98.5656,-52.5173
2000-08-25,241.5,0.4158,1.2579,-1.7294,,,,98.9754,-52.3198
2000-08-28,242.5,0.4141,2.6455,-2.4145,,,,99.3852,-52.1224
2000-08-29,250.25,3.1959,6.6028,1.7276,,,,102.5615,-50.5923
2000-08-30,246.25,-1.5984,5.3476,0.5102,,,,100.9221,-51.382
2000-08-31,251.0,1.9289,4.3659,1.8256,,,,102.8689,-50.4442
2000-09-01,251.0,0.0,3.9337,3.612,,,,102.8689,-50.4442
2000-09-05,250.25,-0.2988,3.1959,5.814,,,,102.5615,-50.5923
2000-09-06,253.0,1.0989,1.0989,8.3512,,,,103.6885,-50.0494
